window-close-v2/Iteration,reach-v2/Iteration,window-close-v2/NumEpisodes,window-close-v2/SuccessRate,reach-v2/AverageDiscountedReturn,drawer-open-v2/NumEpisodes,window-close-v2/TerminationRate,Average/SuccessRate,push-v2/SuccessRate,drawer-close-v2/AverageDiscountedReturn,Average/AverageReturn,window-open-v2/MinReturn,drawer-close-v2/Iteration,peg-insert-side-v2/SuccessRate,button-press-topdown-v2/MinReturn,pick-place-v2/NumEpisodes,push-v2/Iteration,window-open-v2/StdReturn,door-open-v2/MinReturn,Policy/Loss,drawer-open-v2/StdReturn,push-v2/AverageDiscountedReturn,button-press-topdown-v2/StdReturn,window-close-v2/AverageReturn,pick-place-v2/MaxReturn,push-v2/AverageReturn,push-v2/StdReturn,Average/TerminationRate,window-open-v2/AverageReturn,button-press-topdown-v2/AverageDiscountedReturn,reach-v2/MinReturn,drawer-close-v2/StdReturn,drawer-close-v2/TerminationRate,reach-v2/MaxReturn,drawer-open-v2/AverageDiscountedReturn,Average/NumEpisodes,drawer-open-v2/MinReturn,door-open-v2/Iteration,door-open-v2/NumEpisodes,peg-insert-side-v2/MaxReturn,peg-insert-side-v2/AverageReturn,button-press-topdown-v2/AverageReturn,window-open-v2/SuccessRate,button-press-topdown-v2/TerminationRate,Average/MaxReturn,QF/Qf2Loss,door-open-v2/AverageDiscountedReturn,button-press-topdown-v2/Iteration,drawer-close-v2/MinReturn,pick-place-v2/MinReturn,peg-insert-side-v2/Iteration,drawer-close-v2/NumEpisodes,peg-insert-side-v2/StdReturn,reach-v2/StdReturn,push-v2/TerminationRate,drawer-open-v2/MaxReturn,pick-place-v2/TerminationRate,peg-insert-side-v2/TerminationRate,pick-place-v2/AverageReturn,QF/Qf1Loss,door-open-v2/StdReturn,Average/TrainAverageReturn,door-open-v2/TerminationRate,button-press-topdown-v2/MaxReturn,window-open-v2/MaxReturn,drawer-close-v2/AverageReturn,window-open-v2/Iteration,push-v2/MinReturn,drawer-open-v2/SuccessRate,reach-v2/NumEpisodes,door-open-v2/AverageReturn,drawer-open-v2/TerminationRate,window-open-v2/AverageDiscountedReturn,push-v2/NumEpisodes,window-close-v2/AverageDiscountedReturn,peg-insert-side-v2/AverageDiscountedReturn,reach-v2/TerminationRate,drawer-close-v2/SuccessRate,window-open-v2/NumEpisodes,reach-v2/SuccessRate,pick-place-v2/SuccessRate,button-press-topdown-v2/NumEpisodes,Average/Iteration,push-v2/MaxReturn,button-press-topdown-v2/SuccessRate,Average/StdReturn,peg-insert-side-v2/MinReturn,peg-insert-side-v2/NumEpisodes,ReplayBuffer/buffer_size,drawer-close-v2/MaxReturn,Average/AverageDiscountedReturn,window-close-v2/MaxReturn,door-open-v2/SuccessRate,pick-place-v2/AverageDiscountedReturn,window-close-v2/StdReturn,reach-v2/AverageReturn,pick-place-v2/StdReturn,AlphaTemperature/mean,Average/MinReturn,window-close-v2/MinReturn,door-open-v2/MaxReturn,TotalEnvSteps,pick-place-v2/Iteration,window-open-v2/TerminationRate,drawer-open-v2/Iteration,drawer-open-v2/AverageReturn
0,0,5,0.0,162.24342992563527,5,0.0,0.0,0.0,21.98170285739299,281.8392584364545,217.51158088180918,0,0.0,476.7249683379979,5,0,0.0,310.4597217682363,-36.26853561401367,0.0,5.111910574165405,0.0,299.0888887775786,8.057602005747615,24.292414646697605,0.0,0.0,217.51158088180918,52.20718455933273,693.8417350276061,0.0,0.0,693.8417350276061,132.38612265431954,50,741.4241166933634,0,5,8.890369035672812,8.890369035672812,476.7249683379979,0.0,0.0,741.4241166933634,0.16160985827445984,57.840084876512876,0,38.10118718983543,8.057602005747615,0,5,0.0,0.0,0.0,741.4241166933634,0.0,0.0,8.057602005747615,0.10860595852136612,0.0,0.6044091681939523,0.0,476.7249683379979,217.51158088180918,38.10118718983543,0,24.292414646697605,0.0,5,310.4597217682363,0.0,41.77804831859961,5,54.6281596088417,1.816145935444784,0.0,0.0,5,0.0,0.0,5,0,24.292414646697605,0.0,264.46087973309943,8.890369035672812,5,36500,38.10118718983543,53.19788054252364,299.0888887775786,0.0,1.986016114991592,0.0,693.8417350276061,0.0,0.3025408387184143,8.057602005747615,299.0888887775786,310.4597217682363,36500,0,0.0,0,741.4241166933634
1,1,5,0.0,134.24473730012653,5,0.0,0.0,0.0,40.73871037865897,344.80738291109753,139.5687726432719,1,0.0,1163.990854996345,5,1,0.0,505.7165331194306,-54.08451461791992,5.684341886080802e-14,4.6576472435567045,0.0,436.03823553499353,4.8932951299728416,13.497228726947762,0.0,0.0,139.5687726432719,184.48323741535228,597.849626364982,0.0,0.0,597.849626364982,136.87348245233292,50,489.43298214847977,1,5,9.10886725588402,9.10886725588402,1163.990854996345,0.0,0.0,1163.990854996345,0.36497563123703003,113.38999744763942,1,87.97743319066831,4.8932951299728416,1,5,0.0,0.0,0.0,489.43298214847977,0.0,0.0,4.8932951299728416,0.32139137387275696,5.684341886080802e-14,0.967319940762452,0.0,1163.990854996345,139.5687726432719,87.97743319066831,1,13.497228726947762,0.0,5,505.71653311943066,0.0,38.38702275290335,5,80.83928945750365,1.822399154168646,0.0,0.0,5,0.0,0.0,5,1,13.497228726947762,0.0,351.6119073530671,9.10886725588402,5,76500,87.97743319066831,73.73450930953032,436.0382355349935,0.0,1.9085694930609605,5.684341886080802e-14,597.849626364982,0.0,0.092821404337883,4.8932951299728416,436.0382355349935,505.7165331194306,76500,1,0.0,1,489.4329821484797
2,2,5,0.0,215.4653749285451,5,0.0,0.1,0.0,13.703291775207864,450.6409026778403,184.77981647301618,2,0.0,1402.5833046641228,5,2,0.0,426.04295017263377,-73.92610168457031,0.0,4.428658538652956,0.0,522.9922770430433,4.193275810925689,15.770545549592551,0.0,0.0,184.77981647301618,167.99139523057406,945.5749766056031,5.684341886080802e-14,0.0,945.5749766056031,127.26247813285374,50,567.3719168359805,2,5,5.326606783788519,5.326606783788519,1402.5833046641228,0.0,0.0,1402.5833046641228,1.006400465965271,131.07892363017854,2,431.7733568396968,4.193275810925689,2,5,0.0,0.0,0.0,567.3719168359805,0.0,0.0,4.193275810925689,0.9375035166740417,0.0,1.3020964327103728,0.0,1402.5833046641228,184.77981647301618,431.7733568396969,2,15.770545549592551,0.0,5,426.04295017263377,0.0,39.225167430670645,5,92.37908919713045,1.5228131738354227,0.0,1.0,5,0.0,0.0,5,2,15.770545549592551,0.0,427.59684507208925,5.326606783788519,5,116500,431.7733568396968,79.43759126037969,522.9922770430433,0.0,1.3187205661481742,0.0,945.5749766056031,0.0,0.0366714783012867,4.193275810925689,522.9922770430433,426.04295017263377,116500,2,0.0,2,567.3719168359805
3,3,5,0.0,324.0014111241851,5,0.0,0.1,0.0,685.9030121992804,1061.6485351883812,169.20862793907594,3,0.0,1457.5100977573286,5,3,0.0,741.2889165173133,-103.5513916015625,0.0,1.5840198212072718,0.0,130.77112811691381,4.024397223051353,4.6661359325711524,0.0,0.0,169.20862793907594,233.855664270328,1560.2922673728112,0.0,0.0,1560.2922673728112,339.7403602407192,50,1909.610258903746,3,5,8.102153662338562,8.102153662338562,1457.5100977573286,0.0,0.0,4631.011368458663,1.7375195026397705,140.83072292055405,3,4631.011368458663,4.024397223051353,3,5,0.0,0.0,0.0,1909.610258903746,0.0,0.0,4.024397223051353,1.4994806051254272,0.0,1.6680041322218453,0.0,1457.5100977573286,169.20862793907594,4631.011368458663,3,4.6661359325711524,0.0,5,741.2889165173133,0.0,36.571705451539124,5,39.605447629629836,1.6548186344140852,0.0,1.0,5,0.0,0.0,5,3,4.6661359325711524,0.0,1377.5374650686038,8.102153662338562,5,156500,4631.011368458663,180.47499254650785,130.77112811691381,0.0,1.0027631732212814,0.0,1560.2922673728112,0.0,0.04519595578312874,4.024397223051353,130.77112811691381,741.2889165173133,156500,3,0.0,3,1909.610258903746
4,4,5,0.0,480.88460506302016,5,0.0,0.1,0.0,793.2723819756723,1320.2228624528661,160.11089331442332,4,0.0,1418.9688824715413,5,4,0.0,624.4230350523524,-135.03782653808594,0.0,2.1384631905382445,0.0,1961.3313154573038,3.078052518366919,6.7692375271835346,0.0,0.0,160.11089331442332,232.03680240393746,2750.6854890733507,0.0,0.0,2750.6854890733507,278.701920593658,50,1491.9815586106934,4,5,8.646893886223049,8.646893886223049,1418.9688824715413,0.0,0.0,4776.2332666172215,3.5755233764648438,111.54575138161314,4,4776.2332666172215,3.078052518366919,4,5,0.0,0.0,0.0,1491.9815586106934,0.0,0.0,3.078052518366919,3.7261149883270264,0.0,2.3277129460801005,0.0,1418.9688824715413,160.11089331442332,4776.2332666172215,4,6.7692375271835346,0.0,5,624.4230350523524,0.0,34.78144158911901,5,161.61503333302184,1.827868565870008,0.0,1.0,5,0.0,0.0,5,4,6.7692375271835346,0.0,1464.607889224196,8.646893886223049,5,196500,4776.2332666172215,209.7801572256463,1961.331315457304,0.0,0.9973041600126809,2.2737367544323206e-13,2750.6854890733507,0.0,0.08651979267597198,3.078052518366919,1961.331315457304,624.4230350523524,196500,4,0.0,4,1491.9815586106934
5,5,5,0.0,351.57083690407865,5,0.0,0.1,0.0,509.51155098529,982.3985870777001,163.43531370646912,5,0.0,928.2775610979295,5,5,0.0,656.9951325997624,-161.31610107421875,0.0,4.153523669049194,0.0,478.70560923632274,2.9157923659068,20.447448171432306,0.0,0.0,163.43531370646912,164.20720862734774,1795.7002937808154,0.0,0.0,1795.7002937808154,274.0983168550725,50,1435.2206051028365,5,5,9.750976839423304,9.750976839423304,928.2775610979295,0.0,0.0,4332.537137876103,2.83747935295105,117.03164754049628,5,4332.537137876103,2.9157923659068,5,5,0.0,2.2737367544323206e-13,0.0,1435.2206051028365,0.0,0.0,2.9157923659068,4.646466255187988,0.0,2.8467730763858907,0.0,928.2775610979295,163.43531370646912,4332.537137876103,5,20.447448171432306,0.0,5,656.9951325997624,0.0,35.42755934825757,5,88.34308177109229,1.9507760312091775,0.0,1.0,5,0.0,0.0,5,5,20.447448171432306,0.0,1263.0890554849573,9.750976839423304,5,236500,4332.537137876103,154.72918453239444,478.70560923632274,0.0,0.9973435920510593,0.0,1795.7002937808152,0.0,0.09711708128452301,2.9157923659068,478.70560923632274,656.9951325997624,236500,5,0.0,5,1435.2206051028365
6,6,5,0.0,385.53619698387786,5,0.0,0.1,0.0,744.3409293672667,997.9815762284832,163.0755139668457,6,0.0,749.719384497331,5,6,0.0,493.8343634173808,-189.2563018798828,0.0,8.420554246881458,0.0,431.7353676276251,6.318616818658727,54.41128247476108,7.105427357601002e-15,0.0,163.0755139668457,136.694016916283,2243.3041872769286,0.0,0.0,2243.3041872769286,228.52946466516997,50,1115.0651872839321,6,5,9.748046733186554,9.748046733186554,749.719384497331,0.0,0.0,4712.603812188182,7.847094535827637,96.77927413896512,6,4712.603812188182,6.318616818658727,6,5,0.0,0.0,0.0,1115.0651872839321,0.0,0.0,6.318616818658727,9.789604187011719,0.0,3.528602546327888,0.0,749.719384497331,163.0755139668457,4712.603812188182,6,54.41128247476109,0.0,5,493.8343634173808,0.0,35.194008069675036,5,83.3568479620762,1.9774793411896652,0.0,1.0,5,0.0,0.0,5,6,54.41128247476109,0.0,1398.0980865509987,9.748046733186554,5,276500,4712.603812188182,172.21811093701123,431.7353676276252,0.0,1.3523376787275694,5.684341886080802e-14,2243.3041872769286,0.0,0.11018971353769302,6.318616818658727,431.7353676276252,493.8343634173808,276500,6,0.0,6,1115.0651872839321
7,7,5,0.0,368.074607859844,5,0.0,0.0,0.0,11.061133619645577,492.3945286681995,163.0532577278631,7,0.0,821.3091317312847,5,7,0.0,431.5124209136447,-223.2047119140625,0.0,4.219048628799482,0.0,402.0079840158643,7.407926151911999,20.694538444716603,0.0,0.0,163.0532577278631,146.3151300914052,1961.6560229961253,0.0,0.0,1961.6560229961253,214.9806254988364,50,1094.697909303796,7,5,9.255894748191333,9.255894748191333,821.3091317312847,0.0,0.0,1961.6560229961253,4.924569606781006,85.42721969090643,7,12.350200648596132,7.407926151911999,7,5,0.0,2.2737367544323206e-13,0.0,1094.697909303796,0.0,0.0,7.407926151911999,5.561254024505615,5.684341886080802e-14,4.3916940930124015,0.0,821.3091317312847,163.0532577278631,12.350200648596132,7,20.694538444716603,0.0,5,431.51242091364463,0.0,35.215726113529485,5,74.10490629924635,1.9262396332979452,0.0,0.0,5,0.0,0.0,5,7,20.694538444716603,0.0,605.9376147953168,9.255894748191333,5,316500,12.350200648596132,94.2819720684785,402.0079840158643,0.0,1.4950832492740982,0.0,1961.6560229961256,0.0,0.12245245277881622,7.407926151911999,402.0079840158643,431.5124209136447,316500,7,0.0,7,1094.697909303796
8,8,5,0.0,350.716089549397,5,0.0,0.1,0.0,563.7597906093114,954.8139689585759,164.36702415974756,8,0.0,935.5982431807669,5,8,0.0,412.987272736746,-262.2371520996094,0.0,4.296820595223722,1.1368683772161603e-13,393.93279221780267,7.765737388580634,20.5846448461415,0.0,0.0,164.36702415974756,162.70998182747735,1824.4478931584895,0.0,0.0,1824.4478931584895,254.66764431095635,50,1344.6500954317148,8,5,9.959773639994507,9.959773639994507,935.5982431807668,0.0,0.0,4433.846212825774,7.457529544830322,84.26718683533464,8,4433.846212825774,7.765737388580634,8,5,0.0,0.0,0.0,1344.6500954317148,0.0,0.0,7.765737388580634,8.894145011901855,5.684341886080802e-14,5.213731836798488,0.0,935.5982431807669,164.36702415974756,4433.846212825774,8,20.5846448461415,0.0,5,412.9872727367459,0.0,35.70619153289423,5,73.01792192841057,1.9338428882221042,0.0,1.0,5,0.0,0.0,5,8,20.5846448461415,0.0,1300.295137062077,9.959773639994507,5,356500,4433.846212825774,153.2618275528004,393.93279221780267,0.0,1.5428054507765274,0.0,1824.4478931584895,0.0,0.146223783493042,7.765737388580634,393.93279221780267,412.987272736746,356500,8,0.0,8,1344.6500954317148
9,9,5,0.0,295.5342824034244,5,0.0,0.1,0.0,598.7269111057122,907.6701019582744,163.4983007749226,9,0.0,951.2434442401177,5,9,0.0,412.16438160857103,-295.3375549316406,0.0,4.826860566231193,1.1368683772161603e-13,354.34489668375244,7.9220844808728295,23.64025386174923,0.0,0.0,163.4983007749226,163.26709761203915,1424.9430978751914,0.0,0.0,1424.9430978751914,239.59526074805314,50,1235.6448025694306,9,5,9.252969653934537,9.252969653934537,951.2434442401176,0.0,0.0,4494.0467878342015,9.144381523132324,85.61048793100144,9,4494.0467878342015,7.9220844808728295,9,5,0.0,0.0,0.0,1235.6448025694306,0.0,0.0,7.922084480872829,8.452105522155762,0.0,5.865030069667714,0.0,951.2434442401177,163.4983007749226,4494.0467878342015,9,23.64025386174923,0.0,5,412.16438160857103,0.0,35.594843682940855,5,69.59287037610466,1.9378059063416075,0.0,1.0,5,0.0,0.0,5,9,23.64025386174923,0.0,1293.940883810529,9.252969653934537,5,396500,4494.0467878342015,149.62544285919424,354.34489668375244,0.0,1.5680082600935858,0.0,1424.9430978751914,8.881784197001252e-16,0.15895017981529236,7.9220844808728295,354.34489668375244,412.16438160857103,396500,9,0.0,9,1235.6448025694306
